Target,Group1,Group2,change_type,changes
13_HODE,FMT,Placebo,edited,"{'P_Value': {'old': 0.628237620960266, 'new': 0.6282}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
13_HODE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.999998745969018, 'new': 1.0}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
13_HODE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.802003116018464, 'new': 0.802}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
13_HODE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.837026386194657, 'new': 0.837}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
15deoxy_delta_12_14_PGJ2,Chow control,FMT,edited,"{'P_Value': {'old': 0.0114170521905488, 'new': 0.0114}, 'q_value': {'old': 0.137391645004909, 'new': 0.1371864406779661}}"
15deoxy_delta_12_14_PGJ2,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.0038977944414364, 'new': 0.0039}, 'q_value': {'old': 0.0614985345204418, 'new': 0.06153333333333333}}"
15deoxy_delta_12_14_PGJ2,Chow control,NGBB,edited,"{'P_Value': {'old': 0.0001474527677323, 'new': 0.0001}, 'q_value': {'old': 0.0047587029586337, 'new': 0.0032272727272727275}}"
15deoxy_delta_12_14_PGJ2,Chow control,Placebo,edited,"{'P_Value': {'old': 2.8889213615102e-05, 'new': 0.0}, 'q_value': {'old': 0.0010795442982485, 'new': 0.0}}"
15deoxy_delta_12_14_PGJ2,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.999897630470074, 'new': 0.9999}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
15deoxy_delta_12_14_PGJ2,FMT,NGBB,edited,"{'P_Value': {'old': 0.915530825288422, 'new': 0.9155}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
15deoxy_delta_12_14_PGJ2,FMT,Placebo,edited,"{'P_Value': {'old': 0.709225916017415, 'new': 0.7092}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
15deoxy_delta_12_14_PGJ2,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.783574051118245, 'new': 0.7836}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
15deoxy_delta_12_14_PGJ2,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.481153682671434, 'new': 0.4812}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
15deoxy_delta_12_14_PGJ2,NGBB,Placebo,edited,"{'P_Value': {'old': 0.988282090360701, 'new': 0.9883}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
17_18_DiHETE,Chow control,FMT,edited,"{'P_Value': {'old': 0.552359366742952, 'new': 0.5524}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
17_18_DiHETE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.999967950329749, 'new': 1.0}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
17_18_DiHETE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.706007718194901, 'new': 0.706}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
17_18_DiHETE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.999994627223198, 'new': 1.0}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
17_18_DiHETE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.596300789160253, 'new': 0.5963}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
17_18_DiHETE,FMT,NGBB,edited,"{'P_Value': {'old': 0.994553958000278, 'new': 0.9946}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
17_18_DiHETE,FMT,Placebo,edited,"{'P_Value': {'old': 0.514110019773123, 'new': 0.5141}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
17_18_DiHETE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.753059262520167, 'new': 0.7531}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
17_18_DiHETE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.999763113128772, 'new': 0.9998}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
17_18_DiHETE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.663925493347827, 'new': 0.6639}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_AG_2_AG,Chow control,FMT,edited,"{'P_Value': {'old': 0.435178281719995, 'new': 0.4352}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_AG_2_AG,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.376874196951688, 'new': 0.3769}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_AG_2_AG,Chow control,NGBB,edited,"{'P_Value': {'old': 0.266061765103696, 'new': 0.2661}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_AG_2_AG,Chow control,Placebo,edited,"{'P_Value': {'old': 0.720940841395466, 'new': 0.7209}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_AG_2_AG,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.99988410105675, 'new': 0.9999}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_AG_2_AG,FMT,NGBB,edited,"{'P_Value': {'old': 0.999990603994743, 'new': 1.0}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_AG_2_AG,FMT,Placebo,edited,"{'P_Value': {'old': 0.972821925895386, 'new': 0.9728}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_AG_2_AG,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.998923077906016, 'new': 0.9989}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_AG_2_AG,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.983054344011044, 'new': 0.9831}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_AG_2_AG,NGBB,Placebo,edited,"{'P_Value': {'old': 0.934642742125558, 'new': 0.9346}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_LG_2_LG,Chow control,FMT,edited,"{'P_Value': {'old': 0.01369371599939, 'new': 0.0137}, 'q_value': {'old': 0.151914661868232, 'new': 0.151984375}}"
