Target,Group1,Group2,change_type,changes
11_HETE,FMT,Placebo,edited,"{'P_Value': {'old': 0.0853443941679236, 'new': 0.08534439416792358}, 'q_value': {'old': 0.403920033466509, 'new': 0.4039200334665085}}"
11_HETE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.346999211583947, 'new': 0.3401043685615801}, 'q_value': {'old': 0.724375458525411, 'new': 0.7102647763122479}}"
11_HETE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.694702524558494, 'new': 0.6891216451070523}, 'q_value': {'old': 0.94672242957965, 'new': 0.938918760227596}}"
11_HETE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.299986391317661, 'new': 0.2934238832742103}, 'q_value': {'old': 0.676332954970726, 'new': 0.6663839107326388}}"
12_HEPE,Chow control,FMT,edited,"{'P_Value': {'old': 0.0441176470588235, 'new': 0.04411764705882353}, 'q_value': {'old': 0.268166089965398, 'new': 0.2735294117647059}}"
12_HEPE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.607524122129049, 'new': 0.6008776409544788}, 'q_value': {'old': 0.890460888226975, 'new': 0.8807190009261865}}"
12_HEPE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.216945077626192, 'new': 0.21216467995625798}, 'q_value': {'old': 0.631483324545724, 'new': 0.6175685519853519}}"
12_HEPE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.270316628675762, 'new': 0.26429152373398135}, 'q_value': {'old': 0.659827991255796, 'new': 0.6451210421853089}}"
12_HEPE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.119830118282131, 'new': 0.11983011828213067}, 'q_value': {'old': 0.476247905993083, 'new': 0.4762479059930835}}"
12_HEPE,FMT,NGBB,edited,"{'P_Value': {'old': 0.285444947209653, 'new': 0.2854449472096531}, 'q_value': {'old': 0.670222377947742, 'new': 0.6653228092856576}}"
12_HEPE,FMT,Placebo,edited,"{'P_Value': {'old': 0.246292106586224, 'new': 0.24629210658622425}, 'q_value': {'old': 0.652568829416492, 'new': 0.6451210421853089}}"
12_HEPE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.739898141971099, 'new': 0.7349852214121391}, 'q_value': {'old': 0.957696968730859, 'new': 0.9513378648758376}}"
12_HEPE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.785948739643719, 'new': 0.7818140034887688}, 'q_value': {'old': 0.977445171551101, 'new': 0.9772242988307859}}"
12_HEPE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.948729289286565, 'new': 0.9476445296225945}}"
12_HETE,Chow control,FMT,edited,"{'P_Value': {'old': 0.0441176470588235, 'new': 0.04411764705882353}, 'q_value': {'old': 0.268166089965398, 'new': 0.2735294117647059}}"
12_HETE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.189586695442127, 'new': 0.18575772936738777}, 'q_value': {'old': 0.605895624608859, 'new': 0.5936587227205176}}"
12_HETE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.0233077036482609, 'new': 0.02557464990093703}, 'q_value': {'old': 0.200705225860025, 'new': 0.22022615192473555}}"
12_HETE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.0399755043717892, 'new': 0.04178899680298453}, 'q_value': {'old': 0.263668220324567, 'new': 0.2735294117647059}}"
12_HETE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.384456616654759, 'new': 0.38445661665475905}, 'q_value': {'old': 0.737966261071055, 'new': 0.7379662610710545}}"
12_HETE,FMT,NGBB,edited,"{'P_Value': {'old': 0.658999497234791, 'new': 0.6589994972347913}, 'q_value': {'old': 0.909977034043587, 'new': 0.9099770340435871}}"
12_HETE,FMT,Placebo,edited,"{'P_Value': {'old': 0.374937154348919, 'new': 0.37493715434891906}, 'q_value': {'old': 0.737966261071055, 'new': 0.7310095462148736}}"
12_HETE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.413411060604492, 'new': 0.4060484491047267}, 'q_value': {'old': 0.775275042143554, 'new': 0.7628789043785775}}"
12_HETE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.880111946204287, 'new': 0.8777166830732149}}"
12_HETE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.846998718515746, 'new': 0.8438314252467704}, 'q_value': {'old': 0.998624456985329, 'new': 0.9986244569853293}}"
13_14dihydro_15k_PGE2,Chow control,FMT,edited,"{'P_Value': {'old': 0.328305681246858, 'new': 0.3283056812468577}, 'q_value': {'old': 0.709043243152349, 'new': 0.7018949047346613}}"
13_14dihydro_15k_PGE2,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.169317154779532, 'new': 0.1661199704495876}, 'q_value': {'old': 0.561372384830534, 'new': 0.5537308239608176}}"
13_14dihydro_15k_PGE2,Chow control,NGBB,edited,"{'P_Value': {'old': 0.561888318080269, 'new': 0.5545304064894243}, 'q_value': {'old': 0.883592026532772, 'new': 0.872622393400388}}"
13_14dihydro_15k_PGE2,Chow control,Placebo,edited,"{'P_Value': {'old': 0.055668016194332, 'new': 0.056873036034794405}, 'q_value': {'old': 0.310938468833206, 'new': 0.3176692102844372}}"
13_14dihydro_15k_PGE2,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.650353258712392, 'new': 0.6503532587123918}, 'q_value': {'old': 0.909977034043587, 'new': 0.9099770340435871}}"
13_14dihydro_15k_PGE2,FMT,NGBB,edited,"{'P_Value': {'old': 0.425150829562594, 'new': 0.42515082956259426}, 'q_value': {'old': 0.775275042143554, 'new': 0.7740265621658066}}"
13_14dihydro_15k_PGE2,FMT,Placebo,edited,"{'P_Value': {'old': 0.478946706887883, 'new': 0.4789467068878833}, 'q_value': {'old': 0.819651789448473, 'new': 0.8093522693932313}}"
13_14dihydro_15k_PGE2,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.211496674008452, 'new': 0.20706115487008625}, 'q_value': {'old': 0.630422778294425, 'new': 0.6175685519853519}}"
13_14dihydro_15k_PGE2,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.832752252458808, 'new': 0.8294475889935782}, 'q_value': {'old': 0.998624456985329, 'new': 0.9986244569853293}}"
13_14dihydro_15k_PGE2,NGBB,Placebo,edited,"{'P_Value': {'old': 0.055668016194332, 'new': 0.056873036034794405}, 'q_value': {'old': 0.310938468833206, 'new': 0.3176692102844372}}"
13_KODE,Chow control,FMT,edited,"{'P_Value': {'old': 0.425150829562594, 'new': 0.42515082956259426}, 'q_value': {'old': 0.775275042143554, 'new': 0.7740265621658066}}"
13_KODE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.927908005307386, 'new': 0.9264448963254215}}"
13_KODE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.216945077626192, 'new': 0.21216467995625798}, 'q_value': {'old': 0.631483324545724, 'new': 0.6175685519853519}}"
13_KODE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.331649258893841, 'new': 0.32463627173040743}, 'q_value': {'old': 0.709043243152349, 'new': 0.7018949047346613}}"
13_KODE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.431967928871954, 'new': 0.4319679288719536}, 'q_value': {'old': 0.785396234312643, 'new': 0.7740465777474312}}"
13_KODE,FMT,NGBB,edited,"{'P_Value': {'old': 0.0853443941679236, 'new': 0.08534439416792358}, 'q_value': {'old': 0.403920033466509, 'new': 0.4039200334665085}}"
