StdDev,Proportion,Cumulative
5.869299778697343,0.25403161863838203,0.25403161863838203
4.395148992286157,0.14244998089706404,0.39648159953544604
3.8419568094758905,0.10884792342680542,0.5053295229622514
3.791008940207418,0.1059802180482014,0.6113097410104529
2.845937707567227,0.05972634950882058,0.6710360905192735
2.26138320880351,0.03771060654568846,0.708746697064962
2.0785491477011755,0.031859267572277826,0.7406059646372398
1.8016194778640342,0.023935435207341357,0.7645413998445811
1.734335990379008,0.022181027718872277,0.7867224275634535
1.6109235717470602,0.01913661255849126,0.8058590401219448
1.4805887480709907,0.016165311608825273,0.82202435173077
1.3939699983224174,0.014329203320904135,0.8363535550516742
1.3082753310048236,0.01262157337008456,0.8489751284217587
1.2226117840633723,0.01102281062768388,0.8599979390494426
1.1873807654686523,0.010396692769295987,0.8703946318187386
1.16974225908566,0.010090101877853093,0.8804847336965916
1.122570556895581,0.009292712176930538,0.8897774458735221
1.0767973149523609,0.008550334779051373,0.8983277806525736
1.0226026346975043,0.007711324981637384,0.906039105634211
1.0003462865967376,0.007379312803427126,0.913418418437638
0.9770909912808525,0.007040203451034144,0.9204586218886722
0.9359156031791962,0.006459346273856016,0.9269179681625282
0.9162333764366142,0.006190523945187731,0.933108492107716
0.8562064454149676,0.005405951899317066,0.938514444007033
0.8111147926716675,0.004851542445261843,0.9433659864522949
0.779686276338446,0.004482857889681332,0.9478488443419761
0.7681096965699976,0.0043507255355997015,0.9521995698775758
0.7257960445748535,0.003884582824514985,0.9560841527020908
0.7179198896063779,0.0038007312554242507,0.959884883957515
0.6997548097188465,0.0036108294505433217,0.9634957134080584
0.657471182792066,0.0031876353623918317,0.9666833487704503
0.6249474133628444,0.0028800640171941015,0.9695634127876444
0.6122413873289054,0.0027641433392538405,0.9723275561268981
0.6042469556368752,0.002692428217642861,0.975019984344541
0.5860442878816715,0.002532655187289692,0.9775526395318307
0.5632744430343994,0.0023396736562986344,0.9798923131881293
0.5452734319994096,0.0021925215294773207,0.9820848347176067
0.5351558151184213,0.002111911374957801,0.9841967460925645
0.5204315702156784,0.0019972961224891533,0.9861940422150536
0.49183765480242114,0.0017838516791149255,0.9879778938941685
0.461304625201975,0.0015692452022656833,0.9895471390964341
0.45738321439829893,0.00154267924312888,0.991089818339563
0.4365550335256713,0.0014053781321756217,0.9924951964717387
0.4201901045084962,0.001301987553538159,0.9937971840252768
0.41066040673806437,0.001243600412489285,0.9950407844377661
0.3905694091536882,0.0011248941052197392,0.9961656785429859
0.3726975047717682,0.0010243023327383186,0.9971899808757242
0.3458222803345661,0.0008819036333669401,0.9980718845090911
0.31862994293542224,0.0007486664354086975,0.9988205509444998
0.29805343871114104,0.0006550937635489201,0.9994756447080487
0.26665837729031244,0.0005243552919511616,0.9999999999999999
2.6064927010948504e-15,5.009890315845823e-32,0.9999999999999999
