"Group","count","cell","group","time","repeats","injectionID","X11_12_DiHETrE","X12_13_DiHODE","X12_13_DiHOME","X12_HHTrE","X14_HDoHE","X19_20_DiHDPA","X5_6_DiHETrE","X8iso_PGA1","X9_10_13_TriHOME","X9_12_13_TriHOME","X9_HODE","CA","DHEA","EPEA","FA22.5_w3","FA22.5_w6","FA22.6_w3","GLCA","HCA","PGE2","PGK2","TCA","TLCA","delta17_6_keto_PGF1a","LPA14.0","LPA16.1","LPA18.1","LPA20.3","LPA20.4","LPA22.6","LPI18.0","LPI18.1","LPS16.0","LPS18.0","LPS18.1","Sphingosine1P16.1","cLPA18.0","cLPA18.1"
"1143c0",1,"HCC1143","Control",0,1,"2505MED_0001_A1",-7.64385618977472,-3.50635266602479,-1.36959452851768,-5.265344566521,-5.7178567712185,-6.96578428466209,-8.38082178394093,-4.92139016530363,4.00934717225925,3.06557231159362,-3.45798964446339,-6.05889368905357,-8.38082178394093,-7.38082178394093,-6.265344566521,-6.64385618977472,0.720716242521131,-2.82623293226329,1.26002565596146,-9.96578428466209,-1.48196850739783,-4.13289427049735,-1.48600402063299,-5.38082178394093,-5.79585928321977,-1.94897599697553,-0.0724827538015237,-4.38082178394093,0.824564212089827,-0.685013514531485,-1.04097178105631,-3.50635266602479,-2.10780328953451,-0.318325858207167,0.681674141792833,-3.64385618977472,-1.74178261046398,-1.83135796444116
"1143c0",2,"HCC1143","Control",0,2,"2505MED_0002_A1",-8.38082178394093,-3.1456053222469,-1.36959452851768,-5.57346686188333,-5.64385618977472,-7.64385618977472,-8.38082178394093,-4.53951952995999,3.96956495837191,2.99457972421575,-3.39592867633114,-5.96578428466209,-8.38082178394093,-7.64385618977472,-5.79585928321977,-6.265344566521,0.811471030529836,-2.66200353648498,0.249748715083569,-10.583471403558,-2.2584251525812,-4.44222232860507,-1.23446525363702,-14.8270822339652,-5.79585928321977,-1.87832144341175,-0.345564459154601,-4.64385618977472,0.689746438493556,-0.680382065799839,-1.48600402063299,-2.66200353648498,-3.1456053222469,0.0565835283663675,0.804879608254673,-3.75633091903314,-1.99424073071132,-1.41503749927884
"1143c0",3,"HCC1143","Control",0,3,"2505MED_0003_A1",-7.64385618977472,-3.47393118833241,-1.30044836747691,-4.83650126771712,-5.7178567712185,-7.96578428466209,-9.96578428466209,-3.79585928321977,3.96772196496736,3.03861176676445,-3.53951952995999,-6.05889368905357,-7.96578428466209,-7.38082178394093,-5.96578428466209,-6.64385618977472,0.762986564880576,-2.50635266602479,0.277389698810864,-11.9128570237992,-1.81603716515741,-4.18442457113743,-1.49005085369569,-5.79585928321977,-5.79585928321977,-2.02326977932285,-0.415037499278844,-5.01158797427521,0.640620928035698,-0.902389203373578,-1.75633091903314,-3,-2.10780328953451,-0.465938397578882,1.07107616201096,-3.87832144341175,-2.1456053222469,-2.0350469470992
"1143c0",4,"HCC1143","Control",0,4,"2505MED_0004_A1",-8.38082178394093,-3.59074485331516,-1.29335894269059,-5.15842936260448,-5.96578428466209,-8.38082178394093,-8.38082178394093,-5.05889368905357,4.00764403087801,3.06695024392463,-3.30757280191029,-5.87832144341175,-8.38082178394093,-7.64385618977472,-5.87832144341175,-6.50635266602479,0.944108799107955,-2.74661576419993,1.39066768555967,-8.96578428466209,-1.34373246520571,-4.21089678249862,-1.35845397091248,-5.64385618977472,-5.79585928321977,-2.05289494843213,-0.163267919540864,-4.7178567712185,0.814755482809874,-0.625934281777462,-1.55639334852439,-2.47393118833241,-3.47393118833241,-0.558516520417355,0.863145542989399,-3.75633091903314,-2,-1.87832144341175
"1143c0",5,"HCC1143","Control",0,5,"2505MED_0005_A1",-7.96578428466209,-3.68038206579984,-1.44614803181887,-5.265344566521,-5.87832144341175,-7.96578428466209,-8.38082178394093,-4.92139016530363,3.8238512419538,2.80240004011484,-3.55639334852439,-6.05889368905357,-8.38082178394093,-7.64385618977472,-6.15842936260448,-6.79585928321977,0.633198686374004,-2.89969509420431,1.10165007609443,-8.96578428466209,-1.92686529536978,-4.41119543298445,-1.60384051092685,-6.79585928321977,-5.64385618977472,-2.20423305221761,-0.49817873457909,-4.96578428466209,0.537047519404657,-0.732164607902385,-1.63039392996816,-3.50635266602479,-2.36587144247496,-0.790858602161408,0.528071164578735,-3.83650126771712,-2.05889368905357,-1.62148837674627
"1143c12",6,"HCC1143","Control",12,1,"2505MED_0006_A1",-7.96578428466209,-3.52284078881336,-1.59074485331516,-5.87832144341175,-4.265344566521,-8.38082178394093,-8.96578428466209,-4.75633091903314,3.9976537136842,2.61353165291793,-4.41119543298445,-6.05889368905357,-6.96578428466209,-7.64385618977472,-6.96578428466209,-6.79585928321977,0.960511710119024,-2.57346686188333,1.30859386858428,-9.96578428466209,-2.17136841831198,-4.38082178394093,-1.40354186044101,-5.05889368905357,-6.79585928321977,-2.84684321193858,-1.61705613043101,-6.50635266602479,-1.43830727860169,-2.92139016530363,-0.3040061868901,-0.785875194647153,-3.47393118833241,-0.104697378666693,0.617298482840846,-4.23786383009889,-1.45798964446339,-0.83650126771712
"1143c12",7,"HCC1143","Control",12,2,"2505MED_0007_A1",-7.64385618977472,-3.26534456652099,-1.45798964446339,-5.50635266602479,-4.75633091903314,-7.38082178394093,-8.96578428466209,-4.50635266602479,4.00225245173138,3.06108492060131,-4.13289427049735,-5.87832144341175,-6.96578428466209,-7.64385618977472,-7.15842936260448,-7.38082178394093,0.848798181244189,-2.76611193982572,1.2606279081267,-8.96578428466209,-1.83135796444116,-4.23786383009889,-1.34373246520571,-5.05889368905357,-6.265344566521,-2.68038206579984,-1.09850554495243,-6.50635266602479,-0.865121945656888,-2.41119543298445,-1.19099722506091,-1.63039392996816,-2.93236128312464,-0.537424111957796,0.523060061795249,-4.01158797427521,-1.612637459164,-1.13923579737117
"1143c12",8,"HCC1143","Control",12,3,"2505MED_0008_A1",-7.38082178394093,-3.0350469470992,-1.52284078881336,-5.7178567712185,-4.01158797427521,-7.96578428466209,-8.96578428466209,-4.87832144341175,4.15825622881134,3.16140401638112,-4.10780328953452,-5.96578428466209,-6.96578428466209,-7.15842936260448,-6.79585928321977,-6.64385618977472,1.10165007609443,-2.96578428466209,0.559736524432983,-12.8659685290254,-2.69899774396719,-4.44222232860507,-1.3621579396759,-4.79585928321977,-6.265344566521,-2.83650126771712,-1.41888982477445,-5.87832144341175,-1.34373246520571,-2.93236128312464,-0.438307278601691,-0.535331732996556,-2.5649048483799,0.173767067736706,1.03068920407114,-4.05889368905357,-1.69432125675771,-1.08314123530025
"1143c12",9,"HCC1143","Control",12,4,"2505MED_0009_A1",-8.38082178394093,-3.42662547355406,-1.57346686188333,-5.64385618977472,-4.57346686188333,-7.38082178394093,-8.96578428466209,-4.53951952995999,4.01765471750833,3.02909945730875,-4.18442457113743,-6.05889368905357,-6.79585928321977,-7.64385618977472,-7.38082178394093,-7.64385618977472,0.762136169901112,-2.66200353648498,1.27798474729977,-7.96578428466209,-1.52284078881336,-4.265344566521,-1.34373246520571,-4.87832144341175,-5.38082178394093,-2.65290132937773,-0.873027143742234,-5.87832144341175,-0.951763814347152,-2.41119543298445,-0.902389203373578,-1.67116353577046,-3.19759995988516,-0.646112163715093,0.356143810225275,-3.94341647163363,-1.56917950348023,-1.46593839757888
"1143c12",10,"HCC1143","Control",12,5,"2505MED_0010_A1",-7.64385618977472,-3.35107444054688,-1.45798964446339,-5.50635266602479,-4.23786383009889,-7.96578428466209,-8.96578428466209,-5.05889368905357,4.24321207392828,3.114367024952,-4.23786383009889,-5.87832144341175,-7.15842936260448,-7.96578428466209,-6.38082178394093,-6.15842936260448,1.43189034828618,-2.63486740654747,1.54052329643822,-8.96578428466209,-2.78587519464715,-4.18442457113743,-1.15200309344505,-4.68038206579984,-6.15842936260448,-2.54793176977619,-1.09541956507868,-6.15842936260448,-0.87038726186953,-2.36587144247496,-0.625934281777462,-1.44222232860507,-2.81603716515741,0.357270475679559,0.973060172804084,-3.89969509420431,-1.20423305221761,-0.619270551496451
