sample_id,rt_start,rt_end,area,data_points,run_start_time,name,class,parent_mz,product_mz
52,51.4,52.4,4587.0,145,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
53,52.4,53.4,1210.0,81,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
54,53.4,54.4,3421.0,152,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
55,54.4,55.4,885.0,77,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
56,55.4,56.4,699.0,65,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
57,56.4,57.4,752.0,71,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
58,57.4,58.4,1022.0,82,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
59,58.4,59.4,886.0,77,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
60,59.4,60.4,1429.0,101,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
61,60.4,61.4,887.0,79,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
62,61.4,62.4,4983.0,169,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
63,62.4,63.4,1264.0,97,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
64,63.4,64.4,1481.0,96,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
65,64.4,65.4,297.0,29,2026-05-21 03:43:33,TG40:0-FA16:0,TG,712.64507,439.378
1,0.4,1.4,2021.0,109,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
2,1.4,2.4,4239.0,159,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
3,2.4,3.4,970.0,81,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
4,3.4,4.4,1027.0,85,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
5,4.4,5.4,1182.0,95,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
6,5.4,6.4,834.0,58,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
7,6.4,7.4,969.0,80,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
8,7.4,8.4,798.0,74,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
9,8.4,9.4,457.0,49,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
10,9.4,10.4,729.0,73,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
11,10.4,11.4,1835.0,131,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
12,11.4,12.4,3854.0,163,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
13,12.4,13.4,1213.0,90,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
14,13.4,14.4,997.0,74,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
15,14.4,15.4,729.0,69,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
16,15.4,16.4,754.0,72,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
17,16.4,17.4,1024.0,91,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
18,17.4,18.4,995.0,83,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
19,18.4,19.4,534.0,48,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
20,19.4,20.4,1024.0,88,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
21,20.4,21.4,916.0,80,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
22,21.4,22.4,3280.0,157,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
23,22.4,23.4,727.0,57,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
24,23.4,24.4,806.0,69,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
25,24.4,25.4,1215.0,102,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
26,25.4,26.4,2559.0,130,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
27,26.4,27.4,858.0,67,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
28,27.4,28.4,750.0,64,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
29,28.4,29.4,702.0,71,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
30,29.4,30.4,667.0,64,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
31,30.4,31.4,644.0,56,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
32,31.4,32.4,3738.0,151,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
33,32.4,33.4,1078.0,90,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
34,33.4,34.4,835.0,74,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
35,34.4,35.4,638.0,61,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
36,35.4,36.4,919.0,83,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
37,36.4,37.4,648.0,62,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
38,37.4,38.4,1976.0,106,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
39,38.4,39.4,590.0,52,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
40,39.4,40.4,1780.0,117,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
41,40.4,41.4,1076.0,96,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
42,41.4,42.4,3870.0,152,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
43,42.4,43.4,966.0,75,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
44,43.4,44.4,837.0,71,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
45,44.4,45.4,584.0,59,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
46,45.4,46.4,965.0,77,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
47,46.4,47.4,913.0,78,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
48,47.4,48.4,453.0,50,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
49,48.4,49.4,692.0,63,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
50,49.4,50.4,2023.0,128,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
51,50.4,51.4,1053.0,92,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
52,51.4,52.4,3716.0,158,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
53,52.4,53.4,995.0,71,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
54,53.4,54.4,1292.0,82,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
55,54.4,55.4,808.0,71,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
56,55.4,56.4,1319.0,99,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
57,56.4,57.4,728.0,56,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
58,57.4,58.4,888.0,77,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
59,58.4,59.4,780.0,63,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
60,59.4,60.4,696.0,66,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
61,60.4,61.4,781.0,64,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
62,61.4,62.4,3351.0,135,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
63,62.4,63.4,860.0,79,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
64,63.4,64.4,1076.0,96,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
